(0,-1)
(1,-2)
(2,-3)
(3,-4)
(4,-5)
(5,-6)
(6,-5)
(7,-5)
(8,-4)
(9,-4)
(10,-3)
(11,-2)
(12,-1)
(13,0)
(14,1)
(15,2)
(16,3)
(17,4)
(18,4)
(19,3)
(20,3)
(21,2)
(22,1)
(23,0)
(0,-2)
(1,-3)
(2,-4)
(3,-5)
(4,-6)
(5,-7)
(6,-7)
(8,-6)
(7,-6)
(9,-6)
(10,-5)
(11,-4)
(12,-3)
(13,-1)
(14,0)
(15,1)
(16,2)
(17,1)
(18,1)
(19,0)
(20,0)
(21,-1)
(22,-2)
(23,-3)
(0,-4)
(1,-5)
(2,-6)
(3,-7)
(4,-8)
(5,-9)
(6,-10)
(7,-9)
(8,-8)
(9,-7)
(10,-6)
(11,-5)
(12,-4)
(13,-3)
(14,-2)
(15,0)
(16,1)
(17,1)
(18,1)
(19,0)
(20,-1)
(21,-2)
(22,-3)
(23,-4)
(0,-5)
